step,x,weight
0,-1.252313,0.002000
0,-1.252313,0.002000
0,5.289660,0.002000
0,2.168814,0.002000
0,2.168814,0.002000
0,2.168814,0.002000
0,2.168814,0.002000
0,1.060325,0.002000
0,1.060325,0.002000
0,1.060325,0.002000
0,-1.224461,0.002000
0,-1.224461,0.002000
0,0.053095,0.002000
0,0.053095,0.002000
0,0.053095,0.002000
0,2.614505,0.002000
0,2.614505,0.002000
0,2.614505,0.002000
0,2.138671,0.002000
0,2.138671,0.002000
0,2.138671,0.002000
0,2.138671,0.002000
0,-3.074835,0.002000
0,0.017400,0.002000
0,0.017400,0.002000
0,6.499104,0.002000
0,0.557266,0.002000
0,0.557266,0.002000
0,0.557266,0.002000
0,3.534845,0.002000
0,3.534845,0.002000
0,3.534845,0.002000
0,5.437235,0.002000
0,5.389179,0.002000
0,2.368389,0.002000
0,2.368389,0.002000
0,2.368389,0.002000
0,2.368389,0.002000
0,-0.159033,0.002000
0,-0.159033,0.002000
0,-0.159033,0.002000
0,-1.336164,0.002000
0,1.776225,0.002000
0,1.776225,0.002000
0,1.776225,0.002000
0,1.776225,0.002000
0,1.695115,0.002000
0,1.695115,0.002000
0,1.695115,0.002000
0,1.695115,0.002000
0,-1.508625,0.002000
0,5.008133,0.002000
0,-0.865791,0.002000
0,-0.865791,0.002000
0,-0.995779,0.002000
0,-0.995779,0.002000
0,3.952422,0.002000
0,3.952422,0.002000
0,1.123144,0.002000
0,1.123144,0.002000
0,1.123144,0.002000
0,1.123144,0.002000
0,5.483685,0.002000
0,0.354262,0.002000
0,0.354262,0.002000
0,0.354262,0.002000
0,-1.146520,0.002000
0,4.714965,0.002000
0,4.714965,0.002000
0,0.628642,0.002000
0,0.628642,0.002000
0,0.628642,0.002000
0,1.711725,0.002000
0,1.711725,0.002000
0,1.711725,0.002000
0,1.711725,0.002000
0,1.430773,0.002000
0,1.430773,0.002000
0,1.430773,0.002000
0,1.430773,0.002000
0,3.135653,0.002000
0,3.135653,0.002000
0,3.135653,0.002000
0,3.335152,0.002000
0,3.335152,0.002000
0,3.335152,0.002000
0,0.746192,0.002000
0,0.746192,0.002000
0,0.746192,0.002000
0,3.556138,0.002000
0,3.556138,0.002000
0,3.556138,0.002000
0,-1.067048,0.002000
0,-1.067048,0.002000
0,1.874171,0.002000
0,1.874171,0.002000
0,1.874171,0.002000
0,1.874171,0.002000
0,0.138207,0.002000
0,0.138207,0.002000
0,0.138207,0.002000
0,2.093723,0.002000
0,2.093723,0.002000
0,2.093723,0.002000
0,2.093723,0.002000
0,1.116724,0.002000
0,1.116724,0.002000
0,1.116724,0.002000
0,1.116724,0.002000
0,2.453101,0.002000
0,2.453101,0.002000
0,2.453101,0.002000
0,-0.170434,0.002000
0,-0.170434,0.002000
0,-0.170434,0.002000
0,4.725399,0.002000
0,3.755077,0.002000
