step,true_x,true_y,true_z,meas_x,meas_y,meas_z,est_x,est_y,est_z,error,ess,ci_low_x,ci_high_x,ci_low_y,ci_high_y,ci_low_z,ci_high_z
35,31.123319,20.015950,4.858665,30.060660,20.919294,1.728480,30.098159,19.731562,2.637514,2.462791,226.408786,27.139202,33.057116,16.951229,22.511894,-0.216057,5.491086
36,32.456641,20.248211,5.352269,30.827365,21.198714,5.501861,30.911653,20.774402,4.075114,2.072436,203.083525,28.095436,33.727870,18.102285,23.446520,1.386041,6.764188
37,33.079461,20.348214,5.130299,29.766552,21.040751,7.658463,30.720177,21.196948,6.011605,2.657682,163.862608,27.748482,33.691871,18.482812,23.911085,3.153499,8.869712
38,33.506440,20.553927,5.203634,31.172447,22.563351,4.559130,31.215278,22.115738,5.397159,2.779592,275.529550,28.317705,34.112850,19.353149,24.878327,2.635645,8.158674
39,34.256442,20.838164,5.849667,35.967465,20.280198,7.652586,34.239196,21.126605,7.308340,1.487018,133.478704,31.278479,37.199912,18.033171,24.220040,3.888579,10.728101
40,35.303066,21.516191,7.019501,35.962711,21.839731,6.685553,35.571486,21.777900,7.276184,0.454342,303.837947,32.781693,38.361279,19.181652,24.374148,4.584372,9.967996
41,37.110194,22.564881,6.793012,41.378256,23.696621,6.841057,39.221571,23.053095,7.363782,2.240991,79.595155,36.315626,42.127515,20.371764,25.734425,4.275058,10.452506
42,37.999948,23.975251,7.565974,33.545439,23.258029,7.261851,37.289825,23.714834,7.515317,0.758062,29.620593,34.356125,40.223524,21.013919,26.415748,5.216777,9.813858
43,38.851538,23.930423,7.507778,37.542056,22.374375,12.849314,38.280734,23.705423,9.614523,2.194269,107.758898,35.833278,40.728189,20.857201,26.553645,7.214235,12.014810
44,40.230174,24.082206,7.566050,44.519165,22.421290,7.441394,41.568748,23.325554,9.044897,2.133375,62.913718,38.867206,44.270290,20.666852,25.984257,6.551874,11.537920
45,41.254114,24.057800,7.503135,41.673073,23.133662,10.038467,42.402474,23.478550,9.718703,2.561835,347.207672,39.936441,44.868507,21.032888,25.924212,7.116202,12.321203
46,41.980948,25.387259,7.788407,44.390148,27.168418,8.458079,44.200612,25.593180,9.198805,2.637904,177.381638,41.365349,47.035875,22.935925,28.250436,6.368011,12.029600
47,42.434047,25.402708,7.097119,39.254745,26.463405,4.927024,42.205889,26.384057,7.312393,1.030265,32.708301,38.987337,45.424441,23.859162,28.908953,4.445046,10.179740
48,43.899938,26.133095,7.588530,43.592336,26.506935,7.769408,43.322877,26.887683,7.473312,0.956911,341.789616,40.581182,46.064572,24.430459,29.344908,4.973924,9.972701
49,44.356981,26.792587,7.460654,41.174473,29.479240,4.889355,42.593256,28.451814,6.226809,2.717744,187.604359,39.610893,45.575620,25.697842,31.205786,3.349722,9.103896
